Asset Class,Sub-Asset Class,Region,Industry Group,Issuer / Asset,Security / Details,ISIN,Target (CHF),Current (CHF),Valor,MIC,Yahoo Ticker
Equities,Domestic (CHF),Schweiz,Consumer Staples,Nestlé S.A.,Registered Shares,CH0038863350,100000,101136.21,3886335,XSWX,NESN.SW
Equities,Domestic (CHF),Schweiz,Health Care,Roche Holding AG,Genussschein,CH0012032048,90000,92014.23,1203204,,RO.SW
Equities,Domestic (CHF),Schweiz,Health Care,Novartis AG,Registered Shares,CH0012005267,90000,90924.72,1200526,XSWX,NOVN.SW
Equities,Domestic (CHF),Schweiz,Financials,Zurich Insurance Group,Registered Shares,CH0011075394,90000,90036.21,1107539,XSWX,ZURN.SW
Equities,Domestic (CHF),Schweiz,Consumer Staples,Chocoladefabriken Lindt,Inhaberaktie,CH0010570759,75000,75000.29,1057075,XSWX,LISN.SW
Equities,Domestic (CHF),Schweiz,Financials,Swiss Re AG,Registered Shares,CH0126881561,75000,76667.48,12688156,XSWX,SREN.SW
Equities,Domestic (CHF),Schweiz,Utilities,BKW AG,Registered Shares,CH0130293662,50000,49718.4,13029366,XSWX,BKW.SW
Equities,Domestic (CHF),Schweiz,Telecommunication,Swisscom AG,Registered Shares,CH0008742519,50000,50063.26,874251,XSWX,SCMN.SW
Equities,Domestic (CHF),Schweiz,Financials,Banque Cantonale Vaudoise,Registered Shares,CH0531751755,30000,30188.63,53175175,XSWX,BCVN.SW
Equities,Domestic (CHF),Schweiz,Financials,St.Galler Kantonalbank,Registered Shares,CH0011484067,30000,30559.34,1148406,XSWX,SGKN.SW
Equities,Foreign (Dev. Markets),USA,Consumer Staples,Procter & Gamble Co.,Registered Shares,US7427181091,80000,81136.44,963896,XNYS,PG
Equities,Foreign (Dev. Markets),USA,Consumer Staples,Costco Wholesale Corp.,Registered Shares,US22160K1051,80000,80749.59,903618,XNAS,COST
Equities,Foreign (Dev. Markets),USA,Health Care,Johnson & Johnson,Registered Shares,US4781601046,80000,82685.6,943981,XNYS,JNJ
Equities,Foreign (Dev. Markets),USA,Consumer Staples,Walmart Inc.,Registered Shares,US9311421039,70000,70440.71,984101,XNAS,WMT
Equities,Foreign (Dev. Markets),USA,Consumer Staples,The Coca-Cola Co.,Registered Shares,US1912161007,70000,70531.83,919390,XNYS,KO
