Transaction ID,Timestamp,Portfolio,ISIN,Issuer / Asset,Side,Quantity,Price (local),Currency,FX → CHF,Price (CHF),Amount (CHF),Rationale,Price Source
txn-gro-0100,2023-05-13 00:00:00,Growth,US11135F1012,Broadcom Inc.,BUY,221.875012,63.115,USD,0.894,56.4248,12519.26,Position open · mandate inception DCA,yfinance
txn-gro-0347,2023-05-13 00:00:00,Growth,CH0454664027,21Shares Ethereum ETP,BUY,322.744521,93.4015,CHF,1,93.4015,30144.81,Position open · mandate inception DCA,synth_estimated
txn-gro-0117,2023-05-14 00:00:00,Growth,US79466L3024,Salesforce Inc.,BUY,353.149484,201.81,USD,0.894,180.4181,63714.57,Position open · mandate inception DCA,yfinance
txn-gro-0226,2023-05-14 00:00:00,Growth,LU1778762911,Spotify Technology S.A.,BUY,165.266961,142.53,USD,0.894,127.4218,21058.62,Position open · mandate inception DCA,yfinance
txn-gro-0269,2023-05-14 00:00:00,Growth,US29362U1043,Entegris Inc.,BUY,342.453295,90.22,USD,0.894,80.6567,27621.15,Position open · mandate inception DCA,yfinance
txn-gro-0275,2023-05-14 00:00:00,Growth,US8740391003,TSMC,BUY,234.592254,83.43,USD,0.894,74.5864,17497.4,Position open · mandate inception DCA,yfinance
txn-gro-0127,2023-05-15 00:00:00,Growth,US9024941034,"Tyson Foods, Inc.",BUY,982.53968,49.47,USD,0.89838,44.4429,43666.87,Position open · mandate inception DCA,yfinance
txn-gro-0196,2023-05-15 00:00:00,Growth,US23804L1035,Datadog Inc.,BUY,126.597453,88.5,USD,0.89838,79.5066,10065.34,Position open · mandate inception DCA,yfinance
txn-gro-0122,2023-05-16 00:00:00,Growth,US00724F1012,Adobe Inc.,BUY,312.922912,345.11,USD,0.89546,309.0322,96703.25,Position open · mandate inception DCA,yfinance
txn-gro-0186,2023-05-16 00:00:00,Growth,US0404131064,Arista Networks Inc.,BUY,218.145576,34.035,USD,0.89546,30.477,6648.42,Position open · mandate inception DCA,yfinance
txn-gro-0191,2023-05-16 00:00:00,Growth,US8334451098,Snowflake Inc.,BUY,255.104042,171.71,USD,0.89546,153.7594,39224.66,Position open · mandate inception DCA,yfinance
txn-gro-0288,2023-05-16 00:00:00,Growth,US7960502018,Samsung Electronics,BUY,316.52196,137.6107,USD,0.89546,123.2249,39003.38,Position open · mandate inception DCA,synth_estimated
txn-gro-0337,2023-05-16 00:00:00,Growth,CH0047533523,ZKB Gold ETF,BUY,345.31343,152.2568,CHF,1,152.2568,52576.33,Position open · mandate inception DCA,synth_estimated
txn-gro-0065,2023-05-17 00:00:00,Growth,US5949181045,Microsoft Corp.,BUY,345.112571,314,USD,0.89635,281.4539,97133.28,Position open · mandate inception DCA,yfinance
txn-gro-0182,2023-05-17 00:00:00,Growth,US6974351057,Palo Alto Networks Inc,BUY,261.031188,95.76,USD,0.89635,85.8345,22405.48,Position open · mandate inception DCA,yfinance
txn-gro-0320,2023-05-17 00:00:00,Growth,US2538681030,Digital Realty Trust,BUY,629.530591,123.4961,USD,0.89635,110.6958,69686.37,Position open · mandate inception DCA,synth_estimated
txn-gro-0302,2023-05-18 00:00:00,Growth,US91282CLW90,US Treasury,BUY,2570.165598,100,USD,0.898742,89.8742,230991.58,Bond purchase at par · mandate inception,issuance_par
txn-gro-0314,2023-05-18 00:00:00,Growth,US29444U7000,Equinix Inc.,BUY,529.873584,145.1238,USD,0.898742,130.4289,69110.81,Position open · mandate inception DCA,synth_estimated
txn-gro-0342,2023-05-18 00:00:00,Growth,CH0454664001,21Shares Bitcoin ETP,BUY,439.513642,83.8414,CHF,1,83.8414,36849.43,Position open · mandate inception DCA,synth_estimated
txn-gro-0058,2023-05-19 00:00:00,Growth,US69608A1088,Palantir Technologies,BUY,744.813021,11.71,USD,0.90487,10.596,7892.06,Position open · mandate inception DCA,yfinance
txn-gro-0332,2023-05-19 00:00:00,Growth,IE00B1TXHL60,iShares Listed Private Eq,BUY,985.786048,93.363,EUR,0.97493,91.0224,89728.63,Position open · mandate inception DCA,synth_estimated
txn-gro-0025,2023-05-20 00:00:00,Growth,CH0013841017,Lonza Group AG,BUY,128.095908,578,CHF,1,578,74039.43,Position open · mandate inception DCA,yfinance
txn-gro-0239,2023-05-21 00:00:00,Growth,NL0011585146,Ferrari N.V.,BUY,178.394207,275.9,EUR,0.97493,268.9832,47985.04,Position open · mandate inception DCA,yfinance
txn-gro-0030,2023-05-22 00:00:00,Growth,CH0024608827,Partners Group Holding,BUY,80.708221,856.4,CHF,1,856.4,69118.52,Position open · mandate inception DCA,yfinance
txn-gro-0168,2023-05-22 00:00:00,Growth,US78409V1044,S&P Global Inc.,BUY,123.724623,372.35,USD,0.89819,334.4411,41378.59,Position open · mandate inception DCA,yfinance
txn-gro-0107,2023-05-23 00:00:00,Growth,US88160R1014,Tesla Inc.,BUY,196.447146,185.77,USD,0.8983,166.8772,32782.55,Position open · mandate inception DCA,yfinance
txn-gro-0163,2023-05-23 00:00:00,Growth,US90353T1007,Uber Technologies Inc.,BUY,627.358279,38.66,USD,0.8983,34.7283,21787.07,Position open · mandate inception DCA,yfinance
txn-gro-0175,2023-05-23 00:00:00,Growth,US22788C1053,CrowdStrike Holdings,BUY,77.522166,143.9,USD,0.8983,129.2654,10020.93,Position open · mandate inception DCA,yfinance
txn-gro-0208,2023-05-23 00:00:00,Growth,DE0007164600,SAP SE,BUY,611.385724,121.82,EUR,0.971,118.2872,72319.12,Position open · mandate inception DCA,yfinance
txn-gro-0305,2023-05-23 00:00:00,Growth,US91086QAZ19,United Mexican States,BUY,160.63535,100,USD,0.8983,89.83,14429.87,Bond purchase at par · mandate inception,issuance_par
txn-gro-0325,2023-05-23 00:00:00,Growth,LU0196152788,Partners Group Listed Investments - Listed PE,BUY,1006.500439,127.1971,EUR,0.971,123.5084,124311.26,Position open · mandate inception DCA,synth_estimated
txn-gro-0001,2023-05-24 00:00:00,Growth,CH0244767585,UBS Group AG,BUY,2264.701739,17.855,CHF,1,17.855,40436.25,Position open · mandate inception DCA,yfinance
txn-gro-0014,2023-05-24 00:00:00,Growth,CH0418792922,Sika AG,BUY,623.026234,247.3,CHF,1,247.3,154074.39,Position open · mandate inception DCA,yfinance
txn-gro-0020,2023-05-24 00:00:00,Growth,CH0025751329,Logitech International,BUY,841.232964,57.72,CHF,1,57.72,48555.97,Position open · mandate inception DCA,yfinance
txn-gro-0081,2023-05-24 00:00:00,Growth,US0231351067,Amazon.com Inc.,BUY,322.931548,116.75,USD,0.90131,105.2279,33981.42,Position open · mandate inception DCA,yfinance
txn-gro-0282,2023-05-24 00:00:00,Growth,US58733R1023,MercadoLibre Inc.,BUY,46.007334,1284.13,USD,0.90131,1157.3992,53248.85,Position open · mandate inception DCA,yfinance
txn-gro-0295,2023-05-24 00:00:00,Growth,US7223041028,PDD Holdings Inc.,BUY,507.933247,60.94,USD,0.90131,54.9258,27898.66,Position open · mandate inception DCA,yfinance
txn-gro-0094,2023-05-25 00:00:00,Growth,US30303M1027,Meta Platforms Inc.,BUY,157.703887,252.69,USD,0.904,228.4318,36024.58,Position open · mandate inception DCA,yfinance
txn-gro-0221,2023-05-25 00:00:00,Growth,FR0000121014,LVMH Moët Hennessy,BUY,190.017764,823.4,EUR,0.97262,800.8553,152176.74,Position open · mandate inception DCA,yfinance
txn-gro-0255,2023-05-25 00:00:00,Growth,US0382221051,Applied Materials Inc.,BUY,170.192765,130.47,USD,0.904,117.9449,20073.37,Position open · mandate inception DCA,yfinance
txn-gro-0070,2023-05-26 00:00:00,Growth,US0378331005,Apple Inc.,BUY,433.157852,175.43,USD,0.90505,158.7729,68773.73,Position open · mandate inception DCA,yfinance
txn-gro-0308,2023-05-26 00:00:00,Growth,US836205BB97,Republic of South Africa,BUY,160.63535,100,USD,0.90505,90.505,14538.3,Bond purchase at par · mandate inception,issuance_par
txn-gro-0075,2023-05-27 00:00:00,Growth,US02079K3059,Alphabet Inc.,BUY,334.386475,124.61,USD,0.90505,112.7783,37711.53,Position open · mandate inception DCA,yfinance
txn-gro-0132,2023-05-27 00:00:00,Growth,US81762P1021,ServiceNow Inc.,BUY,1050.416904,107.492,USD,0.90505,97.2856,102190.47,Position open · mandate inception DCA,yfinance
txn-gro-0301,2023-05-27 00:00:00,Growth,CH0009755197,Swiss Confederation,BUY,1500,100,CHF,1,100,150000,Bond purchase at par · mandate inception,issuance_par
txn-gro-0309,2023-05-27 00:00:00,Growth,CH0014420878,UBS (CH) Property Fund,BUY,155.160785,133.1606,CHF,1,133.1606,20661.31,Position open · mandate inception DCA,synth_estimated
txn-gro-0046,2023-05-28 00:00:00,Growth,CH0311864901,Vat Group AG,BUY,38.48777,372,CHF,1,372,14317.45,Position open · mandate inception DCA,yfinance
txn-gro-0139,2023-05-28 00:00:00,Growth,US09857L1089,Booking Holdings Inc.,BUY,529.550783,103.6452,USD,0.90505,93.8041,49674.03,Position open · mandate inception DCA,yfinance
txn-gro-0203,2023-05-28 00:00:00,Growth,NL0010273215,ASML Holding N.V.,BUY,63.050956,682.1,EUR,0.97059,662.0394,41742.22,Position open · mandate inception DCA,yfinance
txn-gro-0250,2023-05-28 00:00:00,Growth,DE000A1EWWW0,Adidas AG,BUY,268.03869,155.44,EUR,0.97059,150.8685,40438.6,Position open · mandate inception DCA,yfinance
