Asset Class,Sub-Asset Class,Region,Industry Group,Issuer / Asset,Security / Details,ISIN,Target (CHF),Current (CHF),Valor,MIC,Yahoo Ticker
Equities,Domestic (CHF),Schweiz,Financials,UBS Group AG,Registered Shares,CH0244767585,200000,200698.22,24476758,XSWX,UBSG.SW
Equities,Domestic (CHF),Schweiz,Industrials,ABB Ltd.,Registered Shares,CH0012221716,180000,185091.88,1222171,XSWX,ABBN.SW
Equities,Domestic (CHF),Schweiz,Materials,Sika AG,Registered Shares,CH0418792922,180000,182333.73,41879292,XSWX,SIKA.SW
Equities,Domestic (CHF),Schweiz,Information Technology,Logitech International,Registered Shares,CH0025751329,170000,190083.56,2575132,XSWX,LOGN.SW
Equities,Domestic (CHF),Schweiz,Health Care,Lonza Group AG,Registered Shares,CH0013841017,150000,151704.26,1384101,XSWX,LONN.SW
Equities,Domestic (CHF),Schweiz,Financials,Partners Group Holding,Registered Shares,CH0024608827,150000,151273.97,2460882,XSWX,PGHN.SW
Equities,Domestic (CHF),Schweiz,Health Care,Straumann Holding AG,Registered Shares,CH1175448666,100000,100495.57,117544866,XSWX,STMN.SW
Equities,Domestic (CHF),Schweiz,Industrials,Vat Group AG,Registered Shares,CH0311864901,70000,73595.11,31186490,XSWX,VACN.SW
Equities,Foreign (Dev. Markets),USA,Information Technology,NVIDIA Corp.,Registered Shares,US67066G1040,280000,347911.42,994529,XNAS,NVDA
Equities,Foreign (Dev. Markets),USA,Information Technology,Palantir Technologies,Registered Shares Cl. A,US69608A1088,250000,308533.35,36244719,XNAS,PLTR
Equities,Foreign (Dev. Markets),USA,Information Technology,Microsoft Corp.,Registered Shares,US5949181045,220000,272942.89,951692,XNAS,MSFT
Equities,Foreign (Dev. Markets),USA,Information Technology,Apple Inc.,Registered Shares,US0378331005,220000,271442.23,908440,XNAS,AAPL
