Rating,Rating Since,Asset Class,Sub-Asset Class,Region,Industry Group,Issuer / Asset,Security / Details,ISIN,CIO View,Valor,MIC,Yahoo Ticker,As Of
BUY,2026-01-04 00:00:00,Equities,Domestic (CHF),Schweiz,Consumer Discretionary,Cie Financière Richemont,Registered Shares,CH0210483332,Swiss luxury champion; strong balance sheet,21048333,XSWX,CFR.SW,2026-05-12 00:00:00
BUY,2025-09-14 00:00:00,Equities,Domestic (CHF),Schweiz,Consumer Staples,Nestlé S.A.,Registered Shares,CH0038863350,Defensive growth anchor; unmatched brand breadth in staples,3886335,XSWX,NESN.SW,2026-05-12 00:00:00
HOLD,2025-09-18 00:00:00,Equities,Domestic (CHF),Schweiz,Consumer Staples,Chocoladefabriken Lindt,Inhaberaktie,CH0010570759,Solid franchise; limited near-term catalysts,1057075,XSWX,LISN.SW,2026-05-12 00:00:00
BUY,2025-09-01 00:00:00,Equities,Domestic (CHF),Schweiz,Financials,Partners Group Holding,Registered Shares,CH0024608827,Private-markets fee compounding; structural AuM growth,2460882,XSWX,PGHN.SW,2026-05-12 00:00:00
BUY,2026-01-17 00:00:00,Equities,Domestic (CHF),Schweiz,Financials,Zurich Insurance Group,Registered Shares,CH0011075394,Dividend reliability through cycles; underwriting discipline,1107539,XSWX,ZURN.SW,2026-05-12 00:00:00
HOLD,2025-08-14 00:00:00,Equities,Domestic (CHF),Schweiz,Financials,Swiss Re AG,Registered Shares,CH0126881561,Competitive position stable; monitoring margin trajectory,12688156,XSWX,SREN.SW,2026-05-12 00:00:00
HOLD,2025-11-19 00:00:00,Equities,Domestic (CHF),Schweiz,Financials,UBS Group AG,Registered Shares,CH0244767585,Market share steady; sector headwinds already priced,24476758,XSWX,UBSG.SW,2026-05-12 00:00:00
BUY,2025-08-31 00:00:00,Equities,Domestic (CHF),Schweiz,Health Care,Novartis AG,Registered Shares,CH0012005267,Focused medicines model delivering margin expansion,1200526,XSWX,NOVN.SW,2026-05-12 00:00:00
BUY,2026-01-15 00:00:00,Equities,Domestic (CHF),Schweiz,Health Care,Roche Holding AG,Genussschein,CH0012032048,Diagnostics-pharma flywheel; durable oncology franchises,1203204,,RO.SW,2026-05-12 00:00:00
HOLD,2025-10-31 00:00:00,Equities,Domestic (CHF),Schweiz,Health Care,Lonza Group AG,Registered Shares,CH0013841017,Defensive characteristics intact; hold existing position,1384101,XSWX,LONN.SW,2026-05-12 00:00:00
HOLD,2025-10-20 00:00:00,Equities,Domestic (CHF),Schweiz,Health Care,Straumann Holding AG,Registered Shares,CH1175448666,Long-term thesis intact; range-bound near term,117544866,XSWX,STMN.SW,2026-05-12 00:00:00
BUY,2025-12-16 00:00:00,Equities,Domestic (CHF),Schweiz,Industrials,Kühne + Nagel International,Registered Shares,CH0025238863,Swiss logistics blue chip; asset-light model,2523886,XSWX,KNIN.SW,2026-05-12 00:00:00
BUY,2026-02-17 00:00:00,Equities,Domestic (CHF),Schweiz,Industrials,Schindler Holding AG,Participation Certificates,CH0024638212,Swiss industrial automation; elevator service annuity revenues,2463821,XSWX,SCHP.SW,2026-05-12 00:00:00
HOLD,2025-07-27 00:00:00,Equities,Domestic (CHF),Schweiz,Industrials,ABB Ltd.,Registered Shares,CH0012221716,Balanced risk/reward at the current valuation,1222171,XSWX,ABBN.SW,2026-05-12 00:00:00
HOLD,2026-01-15 00:00:00,Equities,Domestic (CHF),Schweiz,Industrials,Geberit AG,Registered Shares,CH0030170408,Strong cash generation; valuation looks full,3017040,XSWX,GEBN.SW,2026-05-12 00:00:00
HOLD,2026-03-10 00:00:00,Equities,Domestic (CHF),Schweiz,Industrials,Vat Group AG,Registered Shares,CH0311864901,Quality compounder; above our entry discipline,31186490,XSWX,VACN.SW,2026-05-12 00:00:00
HOLD,2026-02-27 00:00:00,Equities,Domestic (CHF),Schweiz,Information Technology,Logitech International,Registered Shares,CH0025751329,Execution on track; upside largely priced in,2575132,XSWX,LOGN.SW,2026-05-12 00:00:00
HOLD,2026-01-20 00:00:00,Equities,Domestic (CHF),Schweiz,Materials,Givaudan SA,Registered Shares,CH0010645932,Earnings quality intact; awaiting a better entry point,1064593,XSWX,GIVN.SW,2026-05-12 00:00:00
HOLD,2025-11-11 00:00:00,Equities,Domestic (CHF),Schweiz,Materials,Holcim AG,Registered Shares,CH0012214059,Stable market position; no incremental allocation recommended,1221405,XSWX,HOLN.SW,2026-05-12 00:00:00
HOLD,2025-10-12 00:00:00,Equities,Domestic (CHF),Schweiz,Materials,Sika AG,Registered Shares,CH0418792922,Operating momentum steady; keep the position,41879292,XSWX,SIKA.SW,2026-05-12 00:00:00
HOLD,2025-11-11 00:00:00,Equities,Domestic (CHF),Schweiz,Telecommunication,Swisscom AG,Registered Shares,CH0008742519,Fairly valued at current levels; maintain existing exposure,874251,XSWX,SCMN.SW,2026-05-12 00:00:00
HOLD,2025-12-15 00:00:00,Equities,Domestic (CHF),Schweiz,Utilities,BKW AG,Registered Shares,CH0130293662,Dividend maintained; modest growth outlook,13029366,XSWX,BKW.SW,2026-05-12 00:00:00
HOLD,2025-11-28 00:00:00,Equities,Emerging Markets,Emerging M.,Consumer Discretionary,MercadoLibre Inc.,Registered Shares,US58733R1023,Conservative guidance; hold through the cycle,3109814,XNAS,MELI,2026-05-12 00:00:00
HOLD,2025-12-10 00:00:00,Equities,Emerging Markets,Emerging M.,Consumer Discretionary,PDD Holdings Inc.,ADR (Temu Mother Co),US7223041028,Defensive characteristics intact; hold existing position,42826115,XNAS,PDD,2026-05-12 00:00:00
HOLD,2025-07-23 00:00:00,Equities,Emerging Markets,Emerging M.,Energy,Reliance Industries,Ltd. GDR,US7594701077,Strong cash generation; valuation looks full,751471,XLON,,2026-05-12 00:00:00
HOLD,2026-02-21 00:00:00,Equities,Emerging Markets,Emerging M.,Financials,Industrial & Comm Bank,H-Shares,CNE1000003G1,Conservative guidance; hold through the cycle,2739966,XHKG,1398.HK,2026-05-12 00:00:00
BUY,2026-01-14 00:00:00,Equities,Emerging Markets,Emerging M.,Information Technology,TSMC,Registered Shares ADR,US8740391003,Foundry process leadership; AI silicon chokepoint,724641,XNYS,TSM,2026-05-12 00:00:00
HOLD,2026-01-25 00:00:00,Equities,Emerging Markets,Emerging M.,Information Technology,Infosys Ltd.,Registered Shares ADR,US4567881085,Market share steady; sector headwinds already priced,516529,XNYS,INFY,2026-05-12 00:00:00
HOLD,2025-10-15 00:00:00,Equities,Emerging Markets,Emerging M.,Information Technology,Samsung Electronics,Co. Ltd. GDR,US7960502018,Market share steady; sector headwinds already priced,722282,XLON,,2026-05-12 00:00:00
SELL,2026-05-03 00:00:00,Equities,Emerging Markets,Emerging M.,Telecommunication,China Mobile Ltd.,Registered Shares,HK0941009539,Downgraded — state-control and regulatory risk profile no longer fits the EM allocation. Replace within Telecommunication.,1099448,XHKG,0941.HK,2026-05-12 00:00:00
BUY,2025-10-25 00:00:00,Equities,Foreign (Dev. Markets),USA,Communication Services,Alphabet Inc.,Reg. Shares Class A,US02079K3059,Search resilience with disciplined AI capital spending,29798540,XNAS,GOOGL,2026-05-12 00:00:00
BUY,2026-01-20 00:00:00,Equities,Foreign (Dev. Markets),USA,Communication Services,The Walt Disney Co.,Registered Shares,US2546871060,Streaming profitability inflection; parks resilience,984192,XNYS,DIS,2026-05-12 00:00:00
HOLD,2026-03-11 00:00:00,Equities,Foreign (Dev. Markets),USA,Communication Services,Meta Platforms Inc.,Registered Shares A,US30303M1027,Competitive position stable; monitoring margin trajectory,14917609,XNAS,META,2026-05-12 00:00:00
HOLD,2025-07-21 00:00:00,Equities,Foreign (Dev. Markets),USA,Communication Services,Netflix Inc.,Registered Shares,US64110L1061,Fairly valued at current levels; maintain existing exposure,1413346,XNAS,NFLX,2026-05-12 00:00:00
HOLD,2025-11-25 00:00:00,Equities,Foreign (Dev. Markets),Europa,Communication Services,Spotify Technology S.A.,Registered Shares,LU1778762911,Strong cash generation; valuation looks full,40769307,XNYS,SPOT,2026-05-12 00:00:00
BUY,2025-09-27 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Discretionary,Amazon.com Inc.,Registered Shares,US0231351067,Retail scale with the AWS margin engine,645156,XNAS,AMZN,2026-05-12 00:00:00
BUY,2026-02-24 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Discretionary,Hermès International,Ordinary Shares,FR0000052292,Unmatched pricing power in absolute luxury; multi-year waiting lists,86689,XPAR,RMS.PA,2026-05-12 00:00:00
BUY,2025-11-03 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Discretionary,Industria de Diseño Textil (Inditex),Ordinary Shares,ES0148396007,Fast-cycle inventory model; superior full-price sell-through,24956043,XMAD,ITX.MC,2026-05-12 00:00:00
BUY,2025-10-11 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Discretionary,LVMH Moët Hennessy,Registered Shares,FR0000121014,Pricing power in premium segments; portfolio of irreplaceable brands,507170,XPAR,MC.PA,2026-05-12 00:00:00
BUY,2025-10-28 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Discretionary,Nike Inc.,Class B Shares,US6541061031,Brand leadership with direct-to-consumer margin lift,957150,XNYS,NKE,2026-05-12 00:00:00
HOLD,2026-02-07 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Discretionary,Adidas AG,Registered Shares,DE000A1EWWW0,Brand momentum steady; upside priced in at current levels,11730015,XETR,ADS.DE,2026-05-12 00:00:00
HOLD,2025-12-09 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Discretionary,Booking Holdings Inc.,Registered Shares,US09857L1089,Fairly valued at current levels; maintain existing exposure,40656108,XNAS,BKNG,2026-05-12 00:00:00
HOLD,2025-10-29 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Discretionary,Ferrari N.V.,Registered Shares,NL0011585146,Competitive position stable; monitoring margin trajectory,30827865,MTAA,RACE.MI,2026-05-12 00:00:00
HOLD,2026-02-18 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Discretionary,Home Depot Inc.,Registered Shares,US4370761029,Dividend maintained; modest growth outlook,939360,XNYS,HD,2026-05-12 00:00:00
HOLD,2026-03-03 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Discretionary,Tesla Inc.,Registered Shares,US88160R1014,Long-term thesis intact; range-bound near term,11448018,XNAS,TSLA,2026-05-12 00:00:00
BUY,2026-02-25 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Staples,Danone S.A.,Ordinary Shares,FR0000120644,Specialised nutrition leadership; margin recovery underway,487663,XPAR,BN.PA,2026-05-12 00:00:00
BUY,2025-09-04 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Staples,Henkel AG & Co. (Vz),Preference Shares,DE0006048432,Adhesives technology moat; consumer portfolio streamlining,335910,XETR,HEN3.DE,2026-05-12 00:00:00
BUY,2025-09-05 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,Kimberly-Clark Corp.,Registered Shares,US4943681035,Defensive staples with reliable dividend history,945034,XNAS,KMB,2026-05-12 00:00:00
BUY,2025-11-11 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,Mondelez International,Class A Shares,US6092071058,Defensive growth in global snacking; pricing power,19549948,XNAS,MDLZ,2026-05-12 00:00:00
BUY,2025-08-20 00:00:00,Equities,Foreign (Dev. Markets),USA,Consumer Staples,Procter & Gamble Co.,Registered Shares,US7427181091,Category leader with durable pricing power and innovation cadence,963896,XNYS,PG,2026-05-12 00:00:00
BUY,2025-09-04 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Staples,Reckitt Benckiser Group,Ordinary Shares,GB00B24CGK77,Hygiene and health portfolio reset; margin-recovery story,3406783,,RKT.L,2026-05-12 00:00:00
BUY,2026-03-05 00:00:00,Equities,Foreign (Dev. Markets),Europa,Consumer Staples,Unilever PLC,Registered Shares,GB00B10RZP78,Brand breadth across 190 markets; emerging-market distribution depth,2477074,,ULVR.L,2026-05-12 00:00:00
